Optimizer,Batch Size,Epoch,Test Accuracy,Train Accuracy,Train Loss,Test Loss,Mse,Macro F1,Weighted F1,Macro Precession,Weighted Pression,Macro Recall,Weighted Recall
Adam,32,100,98.11,98.69,0.3102,0.3166,0.00315,0.98,0.98,0.98,0.98,0.98,0.98
Adam,32,200,99.04,99.91,0.0969,0.1338,0.00167,0.99,0.99,0.99,0.99,0.99,0.99
Adam,32,300,98.97,99.94,0.0951,0.1304,0.00176,0.99,0.99,0.99,0.99,0.99,0.99
Adam,32,400,,,,,,,,,,,
Adam,32,500,,,,,,,,,,,
Adam,64,100,98.59,99.47,0.2742,0.3071,0.00242,0.99,0.99,0.99,0.99,0.99,0.99
Adam,64,200,99.19,99.94,0.107,0.1433,0.00157,0.99,0.99,0.99,0.99,0.99,0.99
Adam,64,300,99.14,99.95,0.1003,0.1357,0.00157,0.99,0.99,0.99,0.99,0.99,0.99
Adam,64,400,99.02,99.97,0.097,0.135,0.00166,0.99,0.99,0.99,0.99,0.99,0.99
Adam,64,500,99.21,99.96,0.0988,0.1341,0.00148,0.99,0.99,0.99,0.99,0.99,0.99
Nadam,32,100,97.88,98.58,0.3256,0.3566,0.00365,0.98,0.98,0.98,0.98,0.98,0.98
Nadam,32,200,98.52,99.69,0.1261,0.1661,0.00249,0.99,0.99,0.99,0.99,0.99,0.99
Nadam,32,300,99.02,99.96,0.0782,0.1154,0.00175,0.99,0.99,0.99,0.99,0.99,0.99
Nadam,32,400,99.09,99.94,0.08165,0.1196,0.00151,0.99,0.99,0.99,0.99,0.99,0.99
Nadam,32,500,99.16,99.95,0.9916,0.1313,0.00157,0.99,0.99,0.99,0.99,0.99,0.99
Nadam,64,100,98.73,99.73,0.1894,0.2278,0.00291,0.99,0.99,0.99,0.99,0.99,0.99
Nadam,64,200,99.3,99.98,0.1173,0.1468,0.00177,0.99,0.99,0.99,0.99,0.99,0.99
Nadam,64,300,99.26,99.97,0.1102,0.1378,0.0017,0.99,0.99,0.99,0.99,0.99,0.99
Nadam,64,400,99,99.91,0.091,0.1241,0.00174,0.99,0.99,0.99,0.99,0.99,0.99
Nadam,64,500,99.16,99.97,0.1055,0.141,0.00199,0.99,0.99,0.99,0.99,0.99,0.99
RMS Prop,32,100,98.16,98.43,0.2651,0.2776,0.00321,0.98,0.98,0.98,0.98,0.98,0.98
RMS Prop,32,200,98.78,99.72,0.0856,0.1227,0.00208,0.99,0.99,0.99,0.99,0.99,0.99
RMS Prop,32,300,99.09,99.89,0.0705,0.1134,0.00156,0.99,0.99,0.99,0.99,0.99,0.99
RMS Prop,32,400,99.35,99.92,0.0528,0.0865,0.00127,0.99,0.99,0.99,0.99,0.99,0.99
RMS Prop,32,500,,,,,,,,,,,
RMS Prop,64,100,98.83,99.49,0.1513,0.1913,0.0021,0.99,0.99,0.99,0.99,0.99,0.99
RMS Prop,64,200,99.28,99.95,0.0776,0.1099,0.00131,0.99,0.99,0.99,0.99,0.99,0.99
RMS Prop,64,300,99.33,99.95,0.0731,0.1023,0.00119,0.99,0.99,0.99,0.99,0.99,0.99
RMS Prop,64,400,99.38,99.98,0.0638,0.0971,0.00114,0.99,0.99,0.99,0.99,0.99,0.99
RMS Prop,64,500,99.23,99.97,0.0708,0.1181,0.00143,0.99,0.99,0.99,0.99,0.99,0.99
SGD,32,100,98.97,99.63,0.5331,0.5543,0.00168,0.99,0.99,0.99,0.99,0.99,0.99
SGD,32,200,98.9,99.74,0.501,0.536,0.00189,0.99,0.99,0.99,0.99,0.99,0.99
SGD,32,300,99.28,99.85,0.4615,0.4877,0.00136,0.99,0.99,0.99,0.99,0.99,0.99
SGD,32,400,98.78,99.58,0.5367,0.5657,0.00196,0.99,0.99,0.99,0.99,0.99,0.99
SGD,32,500,,,,,,,,,,,
SGD,64,100,98.5,99.43,0.5526,0.5913,0.00268,0.98,0.98,0.99,0.99,0.98,0.98
SGD,64,200,98.23,98.45,0.6025,0.6116,0.00283,0.98,0.98,0.98,0.98,0.98,0.98
SGD,64,300,97.78,98.08,0.6165,0.636,0.0039,0.98,0.98,0.98,0.98,0.98,0.98
SGD,64,400,98.3,99.16,0.5691,0.6015,0.00277,0.98,0.98,0.98,0.98,0.98,0.98
SGD,64,500,98.3,99.1,0.5714,0.6029,0.00288,0.98,0.98,0.98,0.98,0.98,0.98